Word,Synonyms
died,"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, fail, go bad, give way, give out, conk out, break, break down, die out, pall, become flat"
years,"old age, years, age, eld, geezerhood, long time, days, year, twelvemonth, yr, class"
ago,"ago, agone"
bigger,"bigger, larger, large, big, bad, prominent, heavy, boastful, braggart, bragging, braggy, cock-a-hoop, crowing, self-aggrandizing, self-aggrandising, swelled, vainglorious, adult, full-grown, fully grown, grown, grownup, magnanimous, bighearted, bounteous, bountiful, freehanded, handsome, giving, liberal, openhanded, enceinte, expectant, gravid, great, with child"
palm,"palm, thenar, palm tree, decoration, laurel wreath, medal, medallion, ribbon, handle"
ask,"ask, inquire, enquire, require, expect, necessitate, postulate, need, take, involve, call for, demand"
holding,"retention, keeping, holding, property, belongings, keep, maintain, hold, take hold, throw, have, make, give, have got, deem, view as, take for, harbor, harbour, entertain, nurse, restrain, confine, retain, keep back, hold back, bear, support, sustain, hold up, carry, contain, accommodate, admit, prevail, obtain, take, reserve, book, defend, guard, oblige, bind, obligate, defy, withstand, apply, go for, control, hold in, check, curb, moderate, halt, arrest, declare, adjudge, agree, concur, concord"
sign,"sign, mark, signal, signaling, signboard, sign of the zodiac, star sign, mansion, house, planetary house, polarity, augury, foretoken, preindication, subscribe, ratify, contract, sign on, sign up, signalize, signalise, bless, gestural, signed, sign-language"
relatives,"relative, relation, congener, congenator, congeneric"
led,"light-emitting diode, LED, lead, take, direct, conduct, guide, leave, result, head, run, go, pass, extend, top, contribute, conduce, precede, moderate, chair"
picture,"picture, image, icon, ikon, painting, mental picture, impression, scene, pictorial matter, movie, film, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick, video, word picture, word-painting, delineation, depiction, characterization, characterisation, photograph, photo, exposure, visualize, visualise, envision, project, fancy, see, figure, depict, render, show"
dry,"dry, prohibitionist, dry out, ironic, ironical, wry, juiceless, teetotal"
hot,"hot, raging, blistering, red-hot, spicy, live"
letting,"lease, rental, letting, let, allow, permit, countenance, get, have, rent"
walked,"walk, take the air"
afternoon,"afternoon, good afternoon"
sun,"sun, Sun, sunlight, sunshine, Sunday, Lord's Day, Dominicus, sunbathe, insolate, solarize, solarise"
named,"name, call, identify, nominate, make, appoint, constitute, mention, advert, bring up, cite, refer, discover, key, key out, distinguish, describe, list, diagnose"
pirate,"plagiarist, plagiarizer, plagiariser, literary pirate, pirate, buccaneer, sea robber, sea rover, pirate ship, commandeer, hijack, highjack"
hole,"hole, golf hole, hollow, fix, jam, mess, muddle, pickle, kettle of fish, trap, cakehole, maw, yap, gob, hole out"
ships,"ship, transport, send, embark"
map,"map, function, mathematical function, single-valued function, mapping, map out, represent"
treasure,"treasure, hoarded wealth, gem, prize, value, appreciate, care for, cherish, hold dear"
title,"title, statute title, rubric, championship, deed, deed of conveyance, title of respect, form of address, claim, entitle, style"
glanced,"glance, peek, glint"
sailing,"seafaring, navigation, sailing, glide, gliding, sailplaning, soaring, sail, sweep, voyage, navigate"
swimming,"swimming, swim, float, drown, liquid, naiant"
balance,"balance, proportion, proportionality, equilibrium, equipoise, counterbalance, remainder, residual, residue, residuum, rest, Libra, Balance, Libra the Balance, Libra the Scales, symmetry, symmetricalness, correspondence, counterweight, counterpoise, equalizer, equaliser, balance wheel, equilibrate, equilibrize, equilibrise, poise"
screamed,"shout, shout out, cry, call, yell, scream, holler, hollo, squall"
suddenly,"suddenly, all of a sudden, of a sudden, abruptly, short, dead, on the spur of the moment"
skirt,"skirt, annulus, dame, doll, wench, chick, bird, hedge, fudge, evade, put off, circumvent, parry, elude, dodge, duck, sidestep, surround, environ, ring, border"
pushing,"push, pushing, force, bear on, advertise, advertize, promote, tug, labor, labour, drive, crowd, crusade, fight, press, campaign, agitate"
practically,"practically, much"
girls,"girl, miss, missy, young lady, young woman, fille, female child, little girl, daughter, girlfriend, lady friend"
usually,"normally, usually, unremarkably, commonly, ordinarily"
stayed,"stay, remain, rest, stick, stick around, stay put, bide, abide, stay on, continue, detain, delay, persist, last out, ride out, outride, quell, appease"
helped,"help, assist, aid, facilitate, help oneself, serve, avail"
barefoot,"barefoot, barefooted, shoeless"
river,river
teach,"Teach, Edward Teach, Thatch, Edward Thatch, Blackbeard, teach, learn, instruct"
swim,"swimming, swim, float, drown"
walking,"walk, walking, take the air, walk-to"
finished,"complete, finish, finish up, land up, fetch up, end up, wind up, end, stop, terminate, cease, eat up, polish off, finished, ruined"
telling,"relation, telling, recounting, apprisal, notification, tattle, singing, state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart, revealing, telltale, cogent, weighty, impressive"
bout,"turn, bout, round, bust, tear, binge"
expected,"expect, anticipate, ask, require, look, await, wait, have a bun in the oven, bear, carry, gestate, expected"
refuse,"garbage, refuse, food waste, scraps, decline, reject, pass up, turn down, defy, resist, deny, turn away"
clutched,"seize, prehend, clutch, cling to, hold close, hold tight, get hold of"
afraid,afraid
sticks,"stick, control stick, joystick, pin, peg, joint, marijuana cigarette, reefer, spliff, lodge, wedge, deposit, stay, stick around, stay put, adhere, hold fast, bond, bind, stick to, stand by, stick by, cling, cleave, cohere, sting, perplex, vex, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound"
crawdads,"crayfish, crawfish, crawdad, ecrevisse, crawdaddy"
rock,"rock, stone, Rock, John Rock, rock candy, rock 'n' roll, rock'n'roll, rock-and-roll, rock and roll, rock music, careen, sway, tilt, shake"
age,"age, historic period, eld, long time, years, old age, geezerhood, senesce, get on, mature, maturate"
sample,"sample, sample distribution, sampling, try, try out, taste"
stool,"stool, fecal matter, faecal matter, feces, faeces, BM, ordure, dejection, toilet, can, commode, crapper, pot, potty, throne, tiller, defecate, shit, take a shit, take a crap, ca-ca, crap, make"
offered,"offer, proffer, volunteer, extend, bid, tender, offer up, put up, provide, propose, declare oneself, pop the question"
kitchen,kitchen
barrel,"barrel, gun barrel, cask, drum, barrelful, bbl"
loafers,"idler, loafer, do-nothing, layabout, bum, Loafer"
pair,"pair, brace, couple, twosome, twain, span, yoke, couplet, distich, duo, duet, dyad, duad, pair off, partner off, match, mate, twin, geminate, copulate"
pill,"pill, lozenge, tablet, tab, birth control pill, contraceptive pill, oral contraceptive pill, oral contraceptive, anovulatory drug, anovulant"
pride,"pride, pridefulness, superbia, plume, congratulate"
swallowed,"swallow, get down, immerse, swallow up, bury, eat up, take back, unsay, withdraw, accept, live with"
end,"end, terminal, ending, last, final stage, goal, destruction, death, conclusion, close, closing, remainder, remnant, oddment, stop, finish, terminate, cease"
pass,"base on balls, walk, pass, passing play, passing game, passing, mountain pass, notch, passport, laissez passer, strait, straits, head, bye, liberty chit, crack, fling, go, whirl, offer, toss, flip, qualifying, pas, go through, go across, travel by, pass by, surpass, go past, go by, legislate, elapse, lapse, slip by, glide by, slip away, slide by, go along, hand, reach, pass on, turn over, give, run, lead, extend, overtake, overhaul, happen, hap, go on, pass off, occur, fall out, come about, take place, clear, spend, guide, draw, communicate, pass along, put across, evanesce, fade, blow over, fleet, make it, exceed, transcend, overstep, top, sink, fall, return, devolve, make pass, authorize, authorise, die, decease, perish, exit, pass away, expire, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, excrete, egest, eliminate"
need,"need, demand, want, motivation, motive, indigence, penury, pauperism, pauperization, necessitate, ask, postulate, require, take, involve, call for"
noticed,"detect, observe, find, discover, notice, mark, note, comment, remark, point out, acknowledge, noticed"
finding,"determination, finding, find, happen, chance, bump, encounter, detect, observe, discover, notice, regain, determine, find out, ascertain, feel, witness, see, line up, get hold, come up, rule, receive, get, obtain, incur, recover, retrieve, find oneself"
mutiny,mutiny
gon,unavailable
gon,
na,"sodium, Na, atomic number 11"
drift,"drift, impetus, impulsion, trend, movement, purport, heading, gallery, float, be adrift, blow, stray, err, roll, wander, swan, tramp, roam, cast, ramble, rove, range, vagabond, freewheel"
brave,"brave, weather, endure, brave out, courageous, audacious, dauntless, fearless, hardy, intrepid, unfearing, braw, gay"
talking,"talk, talking, speak, utter, mouth, verbalize, verbalise, spill, spill the beans, let the cat out of the bag, tattle, blab, peach, babble, sing, babble out, blab out, lecture"
parrot,parrot
felt,"felt, felt up, mat up, matt-up, matte up, matte, mat, feel, experience, find, sense, finger, palpate"
jar,"jar, jarful, jolt, jounce, shock, clash, collide, shake up, bump around"
read,"read, say, scan, take, learn, study, register, show, record, understand, interpret, translate"
pirates,"plagiarist, plagiarizer, plagiariser, literary pirate, pirate, buccaneer, sea robber, sea rover, pirate ship, commandeer, hijack, highjack"
world,"universe, existence, creation, world, cosmos, macrocosm, domain, reality, Earth, earth, globe, populace, public, worldly concern, earthly concern, human race, humanity, humankind, human beings, humans, mankind, man, global, planetary, worldwide, world-wide"
giggled,"giggle, titter"
paddle,"paddle, boat paddle, dabble, splash around, toddle, coggle, totter, dodder, waddle, spank, larrup"
doggy,"pooch, doggie, doggy, barker, bow-wow"
trying,"try, seek, attempt, essay, assay, test, prove, try out, examine, judge, adjudicate, sample, taste, hear, strain, stress, render, try on, trying, nerve-racking, nerve-wracking, stressful"
face,"face, human face, expression, look, aspect, facial expression, side, grimace, font, fount, typeface, case, boldness, nerve, brass, cheek, confront, face up, front, present"
nice,"Nice, nice, decent, skillful, dainty, overnice, prissy, squeamish, courteous, gracious"
wet,"moisture, wet, lactating, besotted, blind drunk, blotto, crocked, cockeyed, fuddled, loaded, pie-eyed, pissed, pixilated, plastered, slopped, sloshed, smashed, soaked, soused, sozzled, squiffy, stiff, tight"
sound,"sound, auditory sensation, audio, phone, speech sound, strait, go, voice, vocalize, vocalise, fathom, healthy, intelligent, levelheaded, level-headed, good, reasoned, well-grounded, legal, effectual, heavy, profound, wakeless"
stays,"corset, girdle, stays, stay, arrest, check, halt, hitch, stop, stoppage, remain, rest, stick, stick around, stay put, bide, abide, stay on, continue, detain, delay, persist, last out, ride out, outride, quell, appease"
moving,"travel, go, move, locomote, displace, proceed, be active, act, affect, impress, strike, motivate, actuate, propel, prompt, incite, run, make a motion, moving"
favorites,"favorite, favourite, darling, pet, dearie, deary, ducky, front-runner"
encouragement,"encouragement, boost"
especially,"particularly, peculiarly, especially, specially"
shoes,"place, shoes, shoe, horseshoe, brake shoe, skid"
bother,"fuss, trouble, bother, hassle, annoyance, botheration, pain, infliction, pain in the neck, pain in the ass, trouble oneself, inconvenience oneself, annoy, rag, get to, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil, put out, inconvenience, disoblige, discommode, incommode"
white,"White, White person, Caucasian, white, whiteness, Edward White, Edward D. White, Edward Douglas White Jr., Patrick White, Patrick Victor Martindale White, T. H. White, Theodore Harold White, Stanford White, E. B. White, Elwyn Brooks White, Andrew D. White, Andrew Dickson White, White River, egg white, albumen, ovalbumin, flannel, gabardine, tweed, whiten, snowy, lily-white, white-hot, blank, clean, whitened, ashen, blanched, bloodless, livid"
chalky,"calcareous, chalky"
wanted,"desire, want, need, require, wanted, cherished, precious, treasured"
push,"push, pushing, thrust, energy, get-up-and-go, push button, button, force, bear on, advertise, advertize, promote, tug, labor, labour, drive, crowd, crusade, fight, press, campaign, agitate"
shallow,"shoal, shallow"
curve,"curve, curved shape, curve ball, breaking ball, bender, curvature, bend, swerve, sheer, trend, veer, slue, slew, cut, wind, twist, arch, arc, crook, curl, kink"
dinner,"dinner, dinner party"
needed,"necessitate, ask, postulate, need, require, take, involve, call for, demand, want, needed, needful, required, requisite"
ta,"tantalum, Ta, atomic number 73"
calm,"composure, calm, calmness, equanimity, calm air, calm down, quiet, tranquilize, tranquillize, tranquillise, quieten, lull, still, steady, becalm, cool off, chill out, simmer down, settle down, cool it, sedate, unagitated, serene, tranquil"
arms,"weaponry, arms, implements of war, weapons system, munition, coat of arms, blazon, blazonry, arm, branch, limb, weapon, weapon system, subdivision, sleeve, build up, fortify, gird"
liked,"wish, care, like, liked"
kept,"keep, maintain, hold, continue, go on, proceed, go along, hold on, prevent, observe, retain, keep on, sustain, stay fresh, celebrate, restrain, keep back, hold back, preserve, keep open, hold open, save, unbroken, kept"
sail,"sail, canvas, canvass, sheet, cruise, sweep, voyage, navigate"
wished,"wish, care, like, wish well, bid"
arm,"arm, branch, limb, weapon, weapon system, subdivision, sleeve, build up, fortify, gird"
brothers,"brother, blood brother, buddy, chum, crony, pal, sidekick, comrade, Brother"
carried,"transport, carry, pack, take, impart, conduct, transmit, convey, channel, express, hold, bear, contain, extend, behave, acquit, deport, comport, stock, stockpile, run, dribble, persuade, sway, post, have a bun in the oven, gestate, expect"
dress,"dress, frock, attire, garb, apparel, wearing apparel, clothes, get dressed, clothe, enclothe, raiment, tog, garment, habilitate, fit out, dress up, preen, primp, plume, dress out, line up, trim, garnish, decorate, snip, clip, crop, lop, prune, cut back, groom, curry, arrange, set, do, coif, coiffe, coiffure, full-dress"
oldest,"old, older, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
child,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, baby"
asking,"request, asking, ask, inquire, enquire, require, expect, necessitate, postulate, need, take, involve, call for, demand"
surprised,"surprise, storm, surprised"
mama,"ma, mama, mamma, mom, momma, mommy, mammy, mum, mummy, Mama"
whispered,"whisper, whispered"
stormed,"ramp, rage, storm, force, surprise"
worms,"worm, louse, insect, dirt ball, writhe, wrestle, wriggle, squirm, twist"
kill,"killing, kill, putting to death, shoot down, defeat, vote down, vote out, stamp out, toss off, pop, bolt down, belt down, pour down, down, drink down, obliterate, wipe out"
fell,"hide, fell, felled seam, drop, strike down, cut down, fly, vanish, fall, descend, go down, come down, come, precipitate, shine, strike, decrease, diminish, lessen, accrue, light, return, pass, devolve, fall down, hang, flow, settle, barbarous, brutal, cruel, roughshod, savage, vicious"
sir,"sir, Sir"
seen,"see, understand, realize, realise, witness, find, visualize, visualise, envision, project, fancy, figure, picture, image, consider, reckon, view, regard, learn, hear, get word, get wind, pick up, find out, get a line, discover, watch, catch, take in, meet, run into, encounter, run across, come across, determine, check, ascertain, insure, see to it, ensure, control, assure, visit, attend, take care, look, go steady, go out, date, examine, experience, go through, escort, interpret, construe"
suit,"suit, suit of clothes, lawsuit, case, cause, causa, courtship, wooing, courting, accommodate, fit, befit, beseem, become"
porch,porch
waiting,"wait, waiting, hold off, hold back, expect, look, await, waitress, ready and waiting"
strange,"strange, unusual, unknown, foreign"
sharply,"aggressively, sharply, crisply, sharp, acutely, precipitously"
reset,"reset, readjust"
friends,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
tons,"tons, dozens, heaps, lots, piles, scores, stacks, loads, rafts, slews, wads, oodles, gobs, scads, lashings, short ton, ton, net ton, long ton, gross ton"
lot,"batch, deal, flock, good deal, great deal, hatful, heap, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite a little, raft, sight, slew, spate, stack, tidy sum, wad, set, circle, band, fortune, destiny, fate, luck, circumstances, portion, draw, bunch, caboodle, Lot, distribute, administer, mete out, parcel out, dispense, shell out, deal out, dish out, allot, dole out"
plan,"plan, program, programme, design, architectural plan, be after, project, contrive"
figured,"calculate, estimate, reckon, count on, figure, forecast, enter, visualize, visualise, envision, project, fancy, see, picture, image, cipher, cypher, compute, work out, figured"
pet,"pet, darling, favorite, favourite, dearie, deary, ducky, positron emission tomography, PET, favored, best-loved, preferred, preferent"
fade,"slice, fade, slicing, disappearance, melt, wither, evanesce, blow over, pass off, fleet, pass, languish"
smell,"smell, odor, odour, olfactory sensation, olfactory perception, olfactory property, aroma, scent, spirit, tone, feel, feeling, flavor, flavour, look, sense of smell, olfaction, olfactory modality, smelling, smack, reek, smell out, sense"
human,"homo, man, human being, human"
unusual,"unusual, strange"
snares,"trap, snare, snare drum, side drum, gin, noose, entrap, ensnare, trammel, hook"
check,"check, bank check, cheque, assay, chit, tab, arrest, halt, hitch, stay, stop, stoppage, confirmation, verification, substantiation, checkout, check-out procedure, check mark, tick, hindrance, hinderance, deterrent, impediment, balk, baulk, handicap, chip, bridle, curb, check up on, look into, check out, suss out, check over, go over, check into, see, insure, see to it, ensure, control, ascertain, assure, hold in, hold, contain, moderate, check off, mark, mark off, tick off, retard, delay, match, fit, correspond, jibe, gibe, tally, agree, discipline, train, condition, checker, chequer, turn back, hold back, determine, find out, watch, learn, chink, crack, break"
patch,"spot, speckle, dapple, patch, fleck, maculation, plot, plot of land, plot of ground, while, piece, spell, temporary hookup, mend, darn, eyepatch, bandage, patch up"
sage,"sage, salvia, sage-green"
cheap,"cheap, inexpensive, brassy, flash, flashy, garish, gaudy, gimcrack, loud, meretricious, tacky, tatty, tawdry, trashy, bum, cheesy, chintzy, crummy, punk, sleazy, tinny, chinchy"
rabbits,"rabbit, coney, cony, lapin, hare"
broom,"broom, heather, ling, Scots heather, Calluna vulgaris, sweep"
later,"later, ulterior, posterior, late, belated, tardy, recent, former, previous, subsequently, afterwards, afterward, after, later on, by and by"
rabbit,"rabbit, coney, cony, lapin, hare"
swamp,"swamp, swampland, drench, deluge, flood, inundate"
eat,"eat, feed, eat on, consume, eat up, use up, deplete, exhaust, run through, wipe out, corrode, rust"
thin,"thin, dilute, thin out, reduce, cut, melt off, lose weight, slim, slenderize, slim down, lean, slender, sparse, flimsy, fragile, slight, tenuous, thinly"
oh,"Ohio, Buckeye State, OH"
fair,"carnival, fair, funfair, bazaar, just, fairish, reasonable, bonny, bonnie, comely, sightly, average, mediocre, middling, clean, honest, fairly, evenhandedly"
stew,"fret, stew, sweat, lather, swither, grizzle, brood, grudge"
showing,"screening, showing, viewing, display, exhibit, show, demo, present, demonstrate, prove, establish, shew, testify, bear witness, evidence, picture, depict, render, express, evince, indicate, point, designate, show up, read, register, record, usher"
spent,"spend, pass, expend, drop, exhausted, spent, dog-tired, fagged, fatigued, played out, washed-out, worn-out, worn out"
mentioned,"mention, advert, bring up, cite, name, refer, note, observe, remark"
stupid,"stupid, stupid person, stupe, dullard, dolt, pudding head, pudden-head, poor fish, pillock, dazed, stunned, stupefied, unintelligent"
near,"approach, near, come on, go up, draw near, draw close, come near, close, nigh, cheeseparing, penny-pinching, skinny, dear, good, approximate, about, almost, most, nearly, virtually, well-nigh"
cut,"cut, gash, slash, slice, cut of meat, stinger, track, deletion, excision, snub, cold shoulder, baseball swing, swing, undercut, cutting, cutting off, reduce, cut down, cut back, trim, trim down, trim back, bring down, swerve, sheer, curve, trend, veer, slue, slew, tailor, write out, issue, make out, edit, edit out, skip, hack, burn, switch off, turn off, turn out, ignore, disregard, prune, rationalize, rationalise, cut off, abridge, foreshorten, abbreviate, shorten, contract, dilute, thin, thin out, geld, shortened, trimmed, mown, emasculated, gelded, slashed, thinned, weakened"
buzzard,"buzzard, turkey buzzard, turkey vulture, Cathartes aura, Buteo buteo"
mess,"mess, messiness, muss, mussiness, fix, hole, jam, muddle, pickle, kettle of fish, mess hall, batch, deal, flock, good deal, great deal, hatful, heap, lot, mass, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite a little, raft, sight, slew, spate, stack, tidy sum, wad, mess up"
drinking,"drinking, imbibing, imbibition, drink, boozing, drunkenness, crapulence, imbibe, booze, fuddle, toast, pledge, salute, wassail, drink in, tope"
root,"root, beginning, origin, rootage, source, root word, base, stem, theme, radical, solution, ancestor, ascendant, ascendent, antecedent, etymon, tooth root, rout, rootle, settle, take root, steady down, settle down"
wire,"wire, conducting wire, telegram, cable, telegraph, electrify"
meat,"meat, kernel, substance, core, center, centre, essence, gist, heart, heart and soul, inwardness, marrow, nub, pith, sum, nitty-gritty"
fetch,"fetch, bring, get, convey, bring in"
apiece,"each, to each one, for each one, from each one, apiece"
served,"serve, function, service, help, serve up, dish out, dish up, dish, serve well, do, attend to, wait on, attend, assist, process, swear out, suffice, answer"
find,"discovery, breakthrough, find, uncovering, happen, chance, bump, encounter, detect, observe, discover, notice, regain, determine, find out, ascertain, feel, witness, see, line up, get hold, come up, rule, receive, get, obtain, incur, recover, retrieve, find oneself"
earn,"gain, take in, clear, make, earn, realize, realise, pull in, bring in, garner"
serving,"helping, portion, serving, service, service of process, serve, function, help, serve up, dish out, dish up, dish, serve well, do, attend to, wait on, attend, assist, process, swear out, suffice, answer"
gathered,"gather, garner, collect, pull together, meet, assemble, forgather, foregather, accumulate, cumulate, conglomerate, pile up, amass, pucker, tuck, get together, gain, collected, gathered"
frustrated,"thwart, queer, spoil, scotch, foil, cross, frustrate, baffle, bilk, torment, rag, bedevil, crucify, dun, defeated, disappointed, discomfited, foiled, frustrated, thwarted"
dreamed,"dream, daydream, woolgather, stargaze, dreamed"
bald,"bald, barefaced, bald-headed, bald-pated, denuded, denudate"
beginning,"beginning, commencement, first, outset, get-go, start, kickoff, starting time, showtime, offset, origin, root, rootage, source, get down, begin, get, start out, set about, set out, commence, lead off"
caught,"catch, pick up, get, grab, take hold of, capture, hitch, arrest, overtake, catch up with, take in, overhear, watch, view, see, trip up, enamour, trance, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant"
darker,"dark, black, sinister, dour, glowering, glum, moody, morose, saturnine, sour, sullen, benighted, obscure, blue, dingy, disconsolate, dismal, gloomy, grim, sorry, drab, drear, dreary, colored, coloured, dark-skinned, non-white"
skin,"skin, tegument, cutis, hide, pelt, peel, clamber, scramble, shin, shinny, struggle, sputter, scrape, bark, pare"
fields,"Fields, W. C. Fields, William Claude Dukenfield, field, battlefield, battleground, field of battle, field of honor, discipline, subject, subject area, subject field, field of study, study, bailiwick, field of force, force field, field of operation, line of business, sphere, domain, area, orbit, arena, playing field, athletic field, playing area, plain, champaign, field of operations, theater, theater of operations, theatre, theatre of operations, field of view, airfield, landing field, flying field"
seeds,"seed, seeded player, source, germ, semen, seminal fluid, ejaculate, cum, come, sow"
plant,"plant, works, industrial plant, flora, plant life, set, implant, engraft, embed, imbed, establish, found, constitute, institute"
specially,"specially, especially, particularly, peculiarly"
perfectly,"absolutely, perfectly, utterly, dead"
road,"road, route"
watching,"observation, observance, watching, watch, observe, follow, watch over, keep an eye on, view, see, catch, take in, look on, look out, watch out, determine, check, find out, ascertain, learn"
aisle,"aisle, gangway"
floor,"floor, flooring, level, storey, story, base, trading floor, shock, ball over, blow out of the water, take aback, deck, coldcock, dump, knock down"
dusty,"dusty, dust-covered, cold, stale, moth-eaten"
scuffed,"scuff, drag"
turnips,"turnip, white turnip, Brassica rapa"
want,"privation, want, deprivation, neediness, lack, deficiency, need, wish, wishing, desire, require"
wonder,"wonder, wonderment, admiration, marvel, curiosity, inquire, enquire, question"
understand,"understand, realize, realise, see, read, interpret, translate, infer, sympathize, sympathise, empathize, empathise"
turnip,"turnip, white turnip, Brassica rapa"
hoe,hoe
drop,"drop, bead, pearl, drib, driblet, dip, fall, free fall, cliff, drop-off, drop curtain, drop cloth, sink, drop down, knock off, drop off, set down, put down, unload, discharge, fell, strike down, cut down, spend, expend, flatten, dangle, swing, dismiss, send packing, send away, dribble, drip, shed, cast, cast off, shake off, throw, throw off, throw away, neglect, pretermit, omit, miss, leave out, overlook, overleap, devolve, deteriorate, degenerate"
tiny,"bantam, diminutive, lilliputian, midget, petite, tiny, flyspeck"
wo,unavailable
wo,
boring,"drilling, boring, oil production, bore, tire, drill, deadening, dull, ho-hum, irksome, slow, tedious, tiresome, wearisome"
spending,"spending, disbursement, disbursal, outlay, outgo, expenditure, spend, pass, expend, drop"
starts,"start, beginning, commencement, first, outset, get-go, kickoff, starting time, showtime, offset, starting, startle, jump, starting line, scratch, scratch line, starting signal, head start, get down, begin, get, start out, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
drove,"drove, horde, swarm, drove chisel, drive, motor, force, ram, repel, repulse, force back, push back, beat back, tug, labor, labour, push, get, aim, ride, take"
worrying,"badgering, worrying, torment, bedevilment, worry, care, vex, concern, interest, occupy, distressing, distressful, disturbing, perturbing, troubling, worrisome"
broken,"interrupt, break, separate, split up, fall apart, come apart, bust, transgress, offend, infract, violate, go against, breach, break out, break away, burst, erupt, break off, discontinue, stop, break in, better, unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, give away, let out, fail, go bad, give way, die, give out, conk out, go, break down, dampen, damp, soften, weaken, part, split, break up, demote, bump, relegate, kick downstairs, bankrupt, ruin, smash, collapse, fall in, cave in, give, founder, break dance, break-dance, wear, wear out, snap off, get out, get around, pause, intermit, recrudesce, develop, crack, check, fracture, broken, crushed, humbled, humiliated, low, unkept, broken in, rugged, confused, disordered, upset, wiped out, impoverished, busted"
windows,"Windows, window, windowpane"
miles,"mile, statute mile, stat mi, land mile, international mile, mi, nautical mile, naut mi, knot, international nautical mile, air mile, sea mile, geographical mile, Admiralty mile, Roman mile, mil, Swedish mile"
heavy,"heavy, fleshy, overweight, clayey, cloggy, lowering, sullen, threatening, dense, impenetrable, big, sonorous, intemperate, hard, grave, grievous, weighty, lumbering, ponderous, weighed down, labored, laboured, arduous, backbreaking, grueling, gruelling, laborious, operose, punishing, toilsome, leaden, profound, sound, wakeless, enceinte, expectant, gravid, great, large, with child, heavily"
going,"departure, going, going away, leaving, passing, loss, exit, expiration, release, sledding, travel, go, move, locomote, proceed, go away, depart, become, get, run, pass, lead, extend, sound, function, work, operate, run low, run short, survive, last, live, live on, endure, hold up, hold out, die, decease, perish, pass away, expire, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, belong, start, get going, blend, blend in, fit, rifle, plump, fail, go bad, give way, give out, conk out, break, break down"
lagged,"lag, dawdle, fall back, fall behind, imprison, incarcerate, immure, put behind bars, jail, jug, gaol, put away, remand"
cover,"screen, cover, covert, concealment, blanket, covering, screening, masking, binding, book binding, back, natural covering, top, covering fire, cover charge, cover version, cover song, spread over, continue, extend, treat, handle, plow, deal, address, embrace, encompass, comprehend, traverse, track, cross, pass over, get over, get across, cut through, cut across, report, cover up, insure, underwrite, compensate, overcompensate, shroud, enshroud, hide, breed, overlay, brood, hatch, incubate, wrap up"
job,"occupation, business, job, line of work, line, task, chore, problem, Job, Book of Job, caper, subcontract, farm out, speculate"
shoulder,"shoulder, shoulder joint, articulatio humeri, berm"
thank,"thank, give thanks"
married,"married, marry, get married, wed, conjoin, hook up with, get hitched with, espouse, tie, splice, marital, matrimonial"
knew,"know, cognize, cognise, experience, live, acknowledge, recognize, recognise, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
aisles,"aisle, gangway"
buying,"buying, purchasing, buy, purchase, bribe, corrupt, grease one's palms"
pens,"pen, playpen, penitentiary, write, compose, indite"
paper,"paper, composition, report, theme, newspaper, newspaper publisher, wallpaper"
ink,ink
grandpa,"grandfather, gramps, granddad, grandad, granddaddy, grandpa"
rows,"row, quarrel, wrangle, words, run-in, dustup, course, rowing"
helping,"helping, portion, serving, help, assist, aid, facilitate, help oneself, serve, avail"
gallon,"gallon, gal, Imperial gallon, congius"
sack,"sack, poke, paper bag, carrier bag, pouch, sac, pocket, sackful, sacque, hammock, chemise, shift, dismissal, dismission, discharge, firing, liberation, release, sacking, plunder, displace, fire, give notice, can, dismiss, give the axe, send away, force out, give the sack, terminate, net, sack up, clear"
gosh,unavailable
gosh,
stay,"stay, arrest, check, halt, hitch, stop, stoppage, remain, rest, stick, stick around, stay put, bide, abide, stay on, continue, detain, delay, persist, last out, ride out, outride, quell, appease"
